Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,Bp,Bt,UVl,UVi,R,G,B,Vl,Il,LUX,T,P,BAlt,H:M:S.ms,DD/MM/20YY,Fix,FixQ,Lat,Long,LatD,LongD,Speed,Angle,GAlt,Sats
-0.67,-9.02,-3.41,27.64,41.00,22.76,0.20,0.01,0.00,1041.51,25.50,681,19.14,3680,4378,3962,5547,2442,953.31,25.46,1041.56,1272.10,23:59:44.796,5/1/2080,0,0,,,,,,,,,
-0.59,-9.34,-2.71,27.55,41.27,22.35,0.23,0.01,-0.00,1041.63,18.10,670,18.70,4335,4298,7017,5263,2410,810.71,18.15,1019.50,1245.14,23:59:45.781,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.18,27.82,41.00,22.65,0.19,0.01,0.00,1041.53,18.20,670,18.70,6880,10852,10650,8044,3231,1687.27,18.15,1019.51,1245.17,23:59:46.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.18,28.00,41.09,22.86,0.19,0.01,0.00,1019.42,18.20,670,18.70,7364,10997,10958,8324,3416,1675.76,18.13,1019.45,1245.09,23:59:47.781,5/1/2080,0,0,,,,,,,,,
-0.63,-9.14,-3.18,27.73,41.18,22.65,0.19,0.01,0.00,1019.42,18.20,670,18.74,7592,10963,11038,8272,3359,1699.90,18.19,1019.58,1245.25,23:59:48.796,5/1/2080,0,0,,,,,,,,,
-0.75,-9.14,-3.18,27.82,41.18,22.86,0.19,0.01,0.00,1019.45,18.20,670,18.74,7518,11058,11012,8410,3483,1662.18,18.17,1019.53,1245.19,23:59:49.781,5/1/2080,0,0,,,,,,,,,
-0.63,-9.10,-3.18,27.82,41.18,22.65,0.19,0.01,0.00,1019.59,18.20,670,18.74,7518,11216,11058,8539,3508,1715.38,18.19,1019.61,1245.29,23:59:50.796,5/1/2080,0,0,,,,,,,,,
-0.63,-9.14,-3.10,27.73,41.00,23.06,0.19,0.01,0.00,1019.43,18.20,670,18.74,7154,11010,10877,8215,3275,1746.91,18.17,1019.36,1244.99,23:59:51.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.18,27.73,41.09,22.76,0.19,0.01,0.00,1019.48,18.10,670,18.74,6895,10818,10738,8134,3133,1834.43,18.13,1019.44,1245.08,23:59:52.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.14,27.82,41.09,22.86,0.19,0.01,0.00,1041.53,18.10,670,18.74,7452,11478,11411,8332,3304,1788.73,18.13,1019.49,1245.14,23:59:53.781,5/1/2080,0,0,,,,,,,,,
-0.71,-9.10,-3.10,27.73,41.18,22.76,0.19,0.01,0.00,1041.46,18.10,670,18.74,6731,10512,10521,7679,2859,1824.82,18.13,1019.47,1245.11,23:59:55.796,5/1/2080,0,0,,,,,,,,,
